neighbourhood_group_encoded,neighbourhood_encoded,room_type_encoded,price_category,minimum_nights,number_of_reviews
0,16,0,medium,3,185
0,208,0,high,9,62
2,82,0,high,3,124
2,124,1,low,2,181
4,61,1,low,2,333
3,42,0,low,5,441
2,74,1,low,1,45
2,107,1,low,14,9
1,120,1,low,2,0
1,115,0,medium,2,38
2,12,0,medium,2,248
0,16,0,high,5,143
2,12,1,low,3,36
0,53,1,low,7,0
2,124,1,low,17,14
0,16,0,high,3,0
2,123,1,medium,3,279
2,12,1,low,4,18
2,123,1,medium,6,50
2,123,1,low,2,227
0,48,0,low,14,1
0,16,1,low,2,203
0,17,0,medium,2,210
2,12,1,low,5,64
2,124,1,low,3,0
0,16,0,medium,7,5
2,124,0,medium,10,49
2,124,0,low,4,132
0,44,1,low,3,20
2,107,0,medium,2,11
2,99,0,medium,3,51
2,123,1,low,21,15
0,16,0,high,3,67
0,3,1,low,1,109
2,124,0,medium,2,9
0,44,0,medium,6,187
2,107,0,medium,2,214
2,13,0,medium,3,69
0,190,0,medium,28,22
2,124,0,medium,30,56
0,187,1,medium,3,93
0,17,1,medium,1,104
0,44,1,low,30,64
2,12,0,medium,3,127
0,17,0,medium,11,30
2,99,0,high,2,106
2,82,1,medium,3,6
0,48,0,high,2,191
0,17,0,medium,30,48
2,116,1,low,5,47
0,53,1,low,2,120
0,16,1,low,3,52
0,16,0,high,2,48
0,83,0,high,3,32
0,193,0,medium,25,43
0,114,0,high,30,39
2,82,0,high,1,50
1,101,0,low,30,4
0,17,0,medium,13,38
2,82,1,low,3,29
2,124,0,medium,4,59
2,124,0,medium,1,68
0,190,0,medium,14,26
0,44,0,high,14,31
3,42,0,medium,2,198
2,82,1,low,2,1
2,124,1,low,2,220
0,3,0,medium,3,286
2,109,0,medium,2,398
2,82,1,medium,3,36
0,122,1,medium,3,36
2,46,0,medium,4,6
2,211,0,high,6,14
2,124,1,medium,14,76
0,16,1,low,2,182
2,82,1,high,3,8
2,82,1,high,3,7
2,107,0,medium,30,34
2,82,1,high,3,2
2,135,1,medium,3,66
2,135,0,high,3,80
0,16,0,medium,4,240
2,12,0,medium,3,46
2,116,0,low,2,228
2,45,0,medium,35,5
2,124,0,medium,30,8
0,16,0,high,2,33
2,82,1,medium,3,13
2,123,0,medium,5,5
0,16,0,medium,1,388
0,108,1,low,3,223
2,123,0,low,15,11
0,3,0,medium,2,151
2,211,0,high,5,0
2,12,0,low,3,218
2,12,0,medium,2,75
3,42,1,low,1,42
2,123,0,medium,90,0
2,12,0,medium,2,370
2,123,0,medium,5,104
2,124,0,medium,7,13
2,12,0,high,5,4
2,211,1,medium,4,11
0,77,0,medium,4,1
0,208,0,medium,30,19
0,190,2,low,7,131
2,45,0,medium,30,15
0,83,1,low,2,136
3,32,1,low,1,43
2,13,0,medium,7,98
2,124,1,medium,3,31
0,17,0,high,21,45
2,124,0,medium,3,124
2,82,1,high,3,9
0,16,0,high,5,166
3,195,1,low,27,13
